district,2019,2020,2021,2022,2023,2024,price_increase_2022,price_increase_2020,price_increase_2018
Centro,-5.4,-5.4,-0.3,3.9,7.4,3.9,1.116,1.156,1.035
Arganzuela,-5.7,-5.7,2.7,2.5,5.2,5.6,1.111,1.169,1.040
Retiro,0.3,0.3,1.1,4.8,7.5,3.9,1.117,1.183,1.190
Salamanca,-1.9,-1.9,5.9,7.0,4.8,8.7,1.139,1.291,1.242
Chamartín,-0.5,-0.5,0.0,5.8,5.4,6.0,1.117,1.182,1.170
Tetuán,-2.7,-2.7,2.8,5.1,6.9,6.5,1.138,1.230,1.164
Chamberí,-2.4,-2.4,6.1,7.4,8.9,7.0,1.165,1.328,1.265
Fuencarral-El Pardo,-2.0,-2.0,8.9,5.0,6.7,2.0,1.088,1.244,1.195
Moncloa-Aravaca,-5.1,-5.1,2.1,8.4,5.6,4.8,1.107,1.225,1.103
Latina,2.6,2.6,1.4,4.3,6.2,6.5,1.131,1.196,1.259
Carabanchel,-1.6,-1.6,4.5,4.0,7.8,5.8,1.141,1.240,1.201
Usera,15.6,15.6,1.9,0.5,3.9,4.9,1.090,1.116,1.491
Puente de Vallecas,1.0,1.0,2.7,5.4,4.5,4.7,1.094,1.184,1.208
Moratalaz,-1.3,-1.3,4.9,2.6,7.4,5.2,1.130,1.216,1.185
Ciudad Lineal,-6.5,-6.5,4.4,4.7,7.6,6.0,1.141,1.247,1.090
Hortaleza,-4.5,-4.5,5.3,7.1,6.6,4.2,1.111,1.253,1.143
Villaverde,-4.0,-4.0,1.8,2.6,3.9,6.6,1.108,1.157,1.066
Villa de Vallecas,0.1,0.1,4.7,2.5,5.9,4.8,1.110,1.191,1.193
Vicálvaro,-11.6,-1.6,2.6,4.8,9.9,2.5,1.126,1.211,1.053
San Blas-Canillejas,1.3,1.3,3.3,3.6,4.3,3.9,1.084,1.160,1.190
Barajas,-6.0,-6.0,2.6,3.2,7.5,2.5,1.102,1.167,1.031